LOCAL-010318,"União das freguesias de Tamengos, Aguim e Óis do Bairro",51,2.73,16,0.86,1,1870,63.54,0,27.11,28.12,507,0,39.09,40.54,731,0,14.28,14.81,267,0,4.33,4.49,81,0,3.21,3.33,60,0,0.70,0.72,13,0,2.57,2.66,48,0,1.82,1.89,34,0,1.76,1.83,33,0,0.00,0.00,0,0,0.32,0.33,6,0,0.00,0.00,0,0,0.59,0.61,11,0,0.21,0.22,4,0,0.16,0.17,3,0,0.05,0.06,1,0,0.21,0.22,4,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010400,Arouca,246,1.83,116,0.86,16,13427,68.26,0,24.52,25.20,3292,0,44.08,45.30,5919,0,16.38,16.84,2200,0,3.25,3.34,436,0,2.32,2.39,312,0,0.97,1.00,130,0,1.32,1.35,177,0,1.18,1.22,159,0,1.65,1.70,222,0,0.00,0.00,0,0,0.69,0.71,93,0,0.00,0.00,0,0,0.39,0.40,52,0,0.28,0.28,37,0,0.13,0.13,17,0,0.09,0.09,12,0,0.05,0.05,7,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010402,Alvarenga,7,1.17,5,0.84,1,596,64.22,0,27.01,27.57,161,0,47.32,48.29,282,0,14.09,14.38,84,0,1.85,1.88,11,0,1.68,1.71,10,0,1.01,1.03,6,0,0.67,0.68,4,0,0.84,0.86,5,0,2.01,2.05,12,0,0.00,0.00,0,0,0.17,0.17,1,0,0.00,0.00,0,0,1.01,1.03,6,0,0.34,0.34,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010407,Chave,15,1.77,6,0.71,1,846,72.93,0,23.40,24.00,198,0,39.13,40.12,331,0,22.58,23.15,191,0,3.55,3.64,30,0,2.60,2.67,22,0,0.95,0.97,8,0,1.42,1.45,12,0,1.06,1.09,9,0,1.30,1.33,11,0,0.00,0.00,0,0,0.83,0.85,7,0,0.00,0.00,0,0,0.59,0.61,5,0,0.12,0.12,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010409,Escariz,23,1.74,20,1.51,1,1325,69.30,0,22.34,23.09,296,0,42.64,44.07,565,0,19.32,19.97,256,0,4.15,4.29,55,0,2.57,2.65,34,0,0.53,0.55,7,0,1.28,1.33,17,0,1.58,1.64,21,0,0.98,1.01,13,0,0.00,0.00,0,0,0.53,0.55,7,0,0.00,0.00,0,0,0.38,0.39,5,0,0.23,0.23,3,0,0.08,0.08,1,0,0.15,0.16,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010411,Fermedo,8,1.03,6,0.77,1,776,69.10,0,26.16,26.64,203,0,45.36,46.19,352,0,15.85,16.14,123,0,2.84,2.89,22,0,1.55,1.57,12,0,1.16,1.18,9,0,0.77,0.79,6,0,1.03,1.05,8,0,2.32,2.36,18,0,0.00,0.00,0,0,0.26,0.26,2,0,0.00,0.00,0,0,0.26,0.26,2,0,0.39,0.39,3,0,0.26,0.26,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010413,Mansores,13,1.81,8,1.11,1,720,73.62,0,17.08,17.60,123,0,51.67,53.22,372,0,16.53,17.02,119,0,4.44,4.58,32,0,0.42,0.43,3,0,0.56,0.57,4,0,1.11,1.14,8,0,0.69,0.72,5,0,2.50,2.58,18,0,0.00,0.00,0,0,0.56,0.57,4,0,0.00,0.00,0,0,0.69,0.72,5,0,0.56,0.57,4,0,0.28,0.29,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010414,Moldes,23,3.17,6,0.83,1,725,65.49,0,28.83,30.03,209,0,43.72,45.55,317,0,10.34,10.78,75,0,3.31,3.45,24,0,3.03,3.16,22,0,0.83,0.86,6,0,0.97,1.01,7,0,0.69,0.72,5,0,2.21,2.30,16,0,0.00,0.00,0,0,0.83,0.86,6,0,0.00,0.00,0,0,0.28,0.29,2,0,0.41,0.43,3,0,0.41,0.43,3,0,0.14,0.14,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010415,Rossas,23,2.37,8,0.82,1,971,71.61,0,20.80,21.49,202,0,45.83,47.34,445,0,18.13,18.72,176,0,2.47,2.55,24,0,1.85,1.91,18,0,1.34,1.38,13,0,0.72,0.74,7,0,1.13,1.17,11,0,2.06,2.13,20,0,0.00,0.00,0,0,1.75,1.81,17,0,0.00,0.00,0,0,0.21,0.21,2,0,0.31,0.32,3,0,0.21,0.21,2,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
LOCAL-010416,Santa Eulália,25,1.76,10,0.70,1,1420,70.65,0,27.32,28.01,388,0,41.13,42.17,584,0,16.20,16.61,230,0,3.17,3.25,45,0,2.46,2.53,35,0,1.13,1.16,16,0,1.83,1.88,26,0,1.13,1.16,16,0,1.48,1.52,21,0,0.00,0.00,0,0,0.70,0.72,10,0,0.00,0.00,0,0,0.63,0.65,9,0,0.14,0.14,2,0,0.14,0.14,2,0,0.07,0.07,1,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,0,0.00,0.00,0,31,0,3092,3092
